tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Thank you for the shoutout @cathymcmorris. Looking forward to working together! https://twitter.com/cathymcmorris/status/1081553403615105024 …,1081622575975936002,2019-01-05,18:44:52,reprussfulcher,0,0,10,2019-01-05 18:44:52
It is an honor to take the oath of office and officially join the 116th Congress. I do not take this responsibility lightly and I will never forget the vow I took to preserve and protect the constitution. #ID01 pic.twitter.com/EjHiwx24jW,1081303054517968896,2019-01-04,21:35:12,reprussfulcher,26,4,28,2019-01-04 21:35:12
My interview with @KLEWNews will be airing tonight at 6PM PT/ 7PM MST - Tune in! pic.twitter.com/VlM3thCWHI,1101236190798405635,2019-02-28,21:42:22,reprussfulcher,2,1,10,2019-02-28 21:42:22
"Representing Idaho potatoes in Washington DC! 

@ThisSpudsForYou @IdahoPotato @LoveIdahoTots pic.twitter.com/TX4EP1NfCW",1100804018190848000,2019-02-27,17:05:04,reprussfulcher,4,8,26,2019-02-27 17:05:04
"My take on the #GreenNewDeal. 

@westerncaucus @NatResources #GreenNewDisaster pic.twitter.com/iUn6PUQIjK",1100463418614652930,2019-02-26,18:31:39,reprussfulcher,17,31,67,2019-02-26 18:31:39
Partnering with @MikeCrapo @SenatorRisch @CongMikeSimpson for Service Academy Days throughout Idaho. Our staff & academy representatives will be available to answer questions about the application process for students who are seeking more info or a nomination. pic.twitter.com/DXHL6Q2hGl,1100416952135225344,2019-02-26,15:27:00,reprussfulcher,4,6,13,2019-02-26 15:27:00
"Congratulations to the Idaho students who received nominations to our nation's esteemed military academies! If you are interested in receiving a nomination for the upcoming academy application process, learn more at  https://fulcher.house.gov/service-academy-nominations … pic.twitter.com/nTlREr6LeW",1099398654002106368,2019-02-23,20:00:39,reprussfulcher,3,3,17,2019-02-23 20:00:39
Thank you to @IdahoGrain for stopping by to update myself and @SenatorRisch about all things wheat! pic.twitter.com/iVmW8KZIcS,1099029506495520768,2019-02-22,19:33:47,reprussfulcher,4,2,13,2019-02-22 19:33:47
Good news for Idaho’s First District! @BLMNational & @forestservice have lowered 2019 grazing fees from $1.41 to the lowest allowed amount set by President Reagan: $1.35.  https://www.blm.gov/press-release/blm-and-forest-service-grazing-fees-lowered-2019?fbclid=IwAR34K2LGoihyoLWKbqtuu7YM0E4j70NfnG8WviFuY-7yGDeACLImOcOVfZM …,1098672249144573952,2019-02-21,19:54:11,reprussfulcher,3,5,16,2019-02-21 19:54:11
Thank you to the Parker Technical Education Center @NorthIdaho College for having me out for a tour today! pic.twitter.com/Von9Ry0yF3,1098301847293571072,2019-02-20,19:22:20,reprussfulcher,1,3,23,2019-02-20 19:22:20
Going to be a late night on Capitol Hill. My team and I are going through H.J.Res.31 - the appropriations that include border funding. pic.twitter.com/FzqXZOCM7Y,1096197579350659072,2019-02-15,00:00:43,reprussfulcher,13,4,36,2019-02-15 00:00:43
"Happy Valentines Day! My Meridian office staff brought homemade cards (made by local elementary students) to veterans at the Boise VA Hospital. Pictured here with Mike Colson, a veteran w/ 20 years in @USArmy & @NationalGuard who spends 40 hours a week volunteering! pic.twitter.com/dzBbtsDmjd",1096156132350021639,2019-02-14,21:16:02,reprussfulcher,1,2,13,2019-02-14 21:16:02
New surveys @SBAList show that most (regardless of location or political party) do not support proposals to allow late term abortions. I support @kevinomccarthy's work to bring up a vote on this issue because Americans deserve to know where their Representatives stand. #ProLife pic.twitter.com/JWvs0uW4L4,1096071237317603328,2019-02-14,15:38:41,reprussfulcher,6,14,37,2019-02-14 15:38:41
"Shoutout to two Idahoans who deserve this recognition from @Prudential! Sarah Picker @BSDEducation trains service dogs for the blind & Alexander Knoll developed a mobile app to help people w/ disabilities navigate public spaces, find services, & identify employment opportunities! pic.twitter.com/bNskBm6aEH",1095863329317441536,2019-02-14,01:52:32,reprussfulcher,1,0,13,2019-02-14 01:52:32
Very impressed by @DOIDepSec and his willingness to engage states in local land issues. @westerncaucus pic.twitter.com/9nFYc4PDtT,1095811305745907714,2019-02-13,22:25:49,reprussfulcher,2,4,15,2019-02-13 22:25:49
Happy Birthday to President Ronald Reagan- a true patriot! pic.twitter.com/eeZX28GCOL,1093262046643322898,2019-02-06,21:35:58,reprussfulcher,6,3,19,2019-02-06 21:35:58
I am 100% behind you Whip @SteveScalise & @RepAnnWagner. Babies who survive an abortion should receive medical care. https://thehill.com/policy/healthcare/428727-scalise-wagner-plan-to-introduce-discharge-petition-for-abortion-bill …,1093243915258552320,2019-02-06,20:23:55,reprussfulcher,43,125,609,2019-02-06 20:23:55
"Congrats to @DOIDepSec David Bernhardt on his nomination! Looking forward to working to decrease burdensome regulations, encourage local resource management, & support both American energy independence & the American workforce through wise management of our natural resources. https://twitter.com/westerncaucus/status/1092925294678290433 …",1093146927250763776,2019-02-06,13:58:31,reprussfulcher,2,6,19,2019-02-06 13:58:31
My colleagues @RepChipRoy & @RepDanCrenshaw took a trip to the southern border for a first-hand account of the situation. Here’s what they saw: https://www.nationalreview.com/2019/02/border-status-losing-control-enforcement-solutions/ …,1092850958344904705,2019-02-05,18:22:27,reprussfulcher,11,35,77,2019-02-05 18:22:27
"January reports show amazing progress: 
 
✅ 304,000 new jobs in January
✅ Worker wage gains break 3% for 1st time in 10 years 
✅ U.S. stocks post best January in 30 years
✅ 79% of businesses plan to add jobs
✅10-year economic optimism is up 

Let’s keep it up!",1092821172910260224,2019-02-05,16:24:05,reprussfulcher,7,18,59,2019-02-05 16:24:05
This week I signed a letter with some of my freshman colleagues to @US_FDA Commissioner Gottlieb asking to ensure liquids labeled ‘milk’ are in fact milk. #COWnterfeits #MOOd #IDpol pic.twitter.com/eX0okVTTJu,1091475936208400384,2019-02-01,23:18:36,reprussfulcher,59,7,31,2019-02-01 23:18:36
Will be live on @KBOI670 at 5pm MST this evening- tune in!,1091465553875816450,2019-02-01,22:37:21,reprussfulcher,2,0,4,2019-02-01 22:37:21
"Here are the results of 2017 insurance premium increases on the free market vs. government-controlled insurance programs:

Increase of individual premiums:  3%
Increase of premiums on the ObamaCare exchange: 30%

The free market provides more choices & better value to consumers.",1123330200794800133,2019-04-30,20:56:04,reprussfulcher,15,18,29,2019-04-30 20:56:04
"If democrats' government-controlled healthcare plan is implemented, 785,500 Idahoans will lose their employer-provided insurance. pic.twitter.com/xznmUKV7Ul",1123243629085118468,2019-04-30,15:12:04,reprussfulcher,69,47,70,2019-04-30 15:12:04
"Today, democrats in the Rules Committee will hold a committee hearing on government-controlled healthcare. Here's what their proposal entails: pic.twitter.com/ea8XU2ujn2",1123214555180564480,2019-04-30,13:16:32,reprussfulcher,14,4,9,2019-04-30 13:16:32
Good news from @SBAgov ! pic.twitter.com/9DpUyun6ir,1122998858957631489,2019-04-29,22:59:26,reprussfulcher,6,4,11,2019-04-29 22:59:26
"My team and I drove our way through the entire first district to meet with businesses, universities, and individuals over the past two district work weeks. I am so thankful for the opportunity to represent this beautiful state. pic.twitter.com/GlSU0Axq0J",1121852068304703491,2019-04-26,19:02:30,reprussfulcher,8,23,57,2019-04-26 19:02:30
About to go live with Neal Larson on @kidnewsradio - tune in! pic.twitter.com/6wBQFwv9JR,1121047840254459905,2019-04-24,13:46:47,reprussfulcher,2,1,13,2019-04-24 13:46:47
"Meeting with TRiO Upward Bound high school students at @Caldwell_Cougs. 
Upward Bound is a wonderful program that provides education and support to prepare low income high school students for college and other opportunities. pic.twitter.com/E0ksFK4MAm",1120834287975174144,2019-04-23,23:38:13,reprussfulcher,0,2,7,2019-04-23 23:38:13
"Congratulations to the Western Idaho Community Crisis Center on your ribbon cutting ceremony! The center will aid those experiencing mental health or substance abuse issues in Adams, Canyon, Gem, Owhyee, Payette, and Washinton counties. pic.twitter.com/ME7jZq8PJ3",1120784453348016128,2019-04-23,20:20:11,reprussfulcher,0,1,10,2019-04-23 20:20:11
"Great to meet with the Owhyee County Commissioners to discuss federal lands, PILT, and grazing issues. pic.twitter.com/YuNvTb5rZ6",1120762668871245824,2019-04-23,18:53:37,reprussfulcher,0,3,16,2019-04-23 18:53:37
Stites and Kamiah were two of the areas affected by recent flooding. We surveyed the damage and held discussions with city officials on the role of the federal government in the recovery process. pic.twitter.com/7Mucs8Vbp7,1120410140597997568,2019-04-22,19:32:48,reprussfulcher,3,3,14,2019-04-22 19:32:48
Thank you to @uidaho President Chuck Staben for the invitation to hear from faculty on your innovative natural resources management programs! pic.twitter.com/YwASKJzUkF,1120379479380115456,2019-04-22,17:30:58,reprussfulcher,0,1,10,2019-04-22 17:30:58
"2 years, $67 million, 2,800 subpoenas, 500 search warrants, 500 witnesses, 28 hearings, 1.5 million documents, & 4,000 stories published by @washingtonpost @nytimes @CNN (6/day)— enough is enough. My focus is on the business of Congress & I encourage my colleagues to do the same.",1119073264192507904,2019-04-19,03:00:32,reprussfulcher,44,16,77,2019-04-19 03:00:32
Part of this week’s activities have included meetings with local and state legislators to learn about issues facing each community. I truly appreciate everyone who was involved and look forward to continuing these relationships in the future. pic.twitter.com/NbvOf8RGn6,1118949791331799041,2019-04-18,18:49:53,reprussfulcher,4,1,12,2019-04-18 18:49:53
Thank you to COO Jason Eddy of Quest Aircraft in Sandpoint for giving Rep. Sage Dixon and I a tour of your facility. This is a one stop shop from production to shipment of the Kodiak plane being flown throughout the world- many times for relief efforts to those in need. pic.twitter.com/dSdfKgqVGs,1118565434091954176,2019-04-17,17:22:36,reprussfulcher,0,4,19,2019-04-17 17:22:36
"Had a wonderful tour of @litehousefoods - started right here in Sandpoint, Idaho. Thank you for showing me around and thank you to Rep. Sage Dixon for joining! pic.twitter.com/0sFWTvUP5o",1118329766795309056,2019-04-17,01:46:08,reprussfulcher,0,2,17,2019-04-17 01:46:08
"Happy 95th Birthday to Wayne Lloyd Van Riper! Wayne served in Gen. George S. Patton's Third Army in World War II and served valiantly in England, Northern France, and Germany. I thank Wayne for his dedication and service to our country, and wish him all the best on his birthday. pic.twitter.com/qZNbbzfmhm",1118197359769341952,2019-04-16,17:00:00,reprussfulcher,1,4,18,2019-04-16 17:00:00
A great visit to @BNSFRailway Hauser Refueling Facility in Rathdrum this morning. We discussed their plans for the Sandpoint Junction Connector project and how it will reduce congestion and help run our freight traffic more efficiently. pic.twitter.com/xboBHYM33N,1117869284775088131,2019-04-15,19:16:21,reprussfulcher,0,4,43,2019-04-15 19:16:21
Thank you to the @IDFarmBureau and the @IdahoPotato leaders for the kind words -- it was a pleasure visiting with you in DC and I look forward to working together. pic.twitter.com/Bo131kD9HH,1117064898515652608,2019-04-13,14:00:00,reprussfulcher,1,4,21,2019-04-13 14:00:00
Love this photo of the @maf_us folks posing as the Statue of Freedom (this is the cast for the actual statue on top of the Capitol Dome). Thank you for stopping by for a tour! pic.twitter.com/EncghNDfoy,1116771905598558208,2019-04-12,18:35:45,reprussfulcher,1,1,9,2019-04-12 18:35:45
I am thankful for all you do! https://twitter.com/cjsurber/status/1116732539534598149 …,1116746928832831493,2019-04-12,16:56:30,reprussfulcher,2,1,6,2019-04-12 16:56:30
Thank you to Pat Kole from the @IdahoPotato Commission for stopping by to drop off this beautiful potato tie! #Fashion pic.twitter.com/bnFWahXsrV,1116363963413991424,2019-04-11,15:34:44,reprussfulcher,0,4,21,2019-04-11 15:34:44
"In Idaho, bills are limited to a single subject & voted on separately-- holding legislators accountable to their constituents. I am proud to introduce this bill with my colleagues @RepMarkMeadows @RepThomasMassie @RepGosar @congbillposey @RepRalphNorman @RepMoBrooks @RepTipton pic.twitter.com/b0HYQABT42",1116076761706631169,2019-04-10,20:33:30,reprussfulcher,1,7,15,2019-04-10 20:33:30
The @RedCross has opened up a shelter in Kamiah for those impacted by flooding in the area. We are actively pursuing any additional help that may be available for those affected. https://www.kxly.com/news/heavy-rain-causing-flooding-mudslides-through-north-and-central-idaho/1067338287 …,1116003399827361792,2019-04-10,15:41:59,reprussfulcher,1,3,14,2019-04-10 15:41:59
Tune in to KBOI's @NateShelman Show at 3:30 PM MST! I will be giving a Washington update and discuss legislation I will be introducing this week. Listen here: http://www.kboi.com/ ,1115723558846586880,2019-04-09,21:10:00,reprussfulcher,3,1,5,2019-04-09 21:10:00
"Great turnout at our Service Academy Day at the Capitol in Boise. Thank you to everyone who made it out to learn about the service academy application process. If you’re interested in attending our final academy day on April 13th, here is more info:  https://fulcher.house.gov/service-academy-days … pic.twitter.com/gLStGPt6ie",1115718979648204803,2019-04-09,20:51:48,reprussfulcher,1,3,9,2019-04-09 20:51:48
Congratulations to Maddie Schuyler and Taylor Lark from @cityofeagle_id for earning their @girlscouts Gold Awards- the highest award in Girl Scouts! Your leadership and service to our community is an inspiration! #gsgoldaward #GoGold pic.twitter.com/vMTlJK7C3U,1115639320587665409,2019-04-09,15:35:16,reprussfulcher,0,3,16,2019-04-09 15:35:16
I’ll be on with @KBOI670 at 3:34pm- tune in for an update from DC!,1113906203988496385,2019-04-04,20:48:29,reprussfulcher,3,1,6,2019-04-04 20:48:29
Adams County Commissioner Viki Purdy & I met with @USDA Undersecretary Jim Hubbard to discuss the need for more active forest management & expansion of the Good Neighbor Authority to Counties. Idaho is leading the way on this effort & I am excited by these new opportunities. pic.twitter.com/1jDEu1PMIS,1113878335879294977,2019-04-04,18:57:44,reprussfulcher,2,5,15,2019-04-04 18:57:44
"One ex; recent bill in VA to expand abortion HB2491 replaces the word 'must' with the word 'shall' in the sentence: ""Measures for life support for the product of such abortion or miscarriage [shall] be available and utilized if there is any clearly visible evidence of viability.""",1113870853840699393,2019-04-04,18:28:00,reprussfulcher,2,0,0,2019-04-04 18:28:00
A great meeting location with the Quincy Columbia Basin Irrigation District- in Statuary Hall in front of Idaho’s statue of Governor George Laird Shoup! pic.twitter.com/jg8QaqZsEs,1113817304515608576,2019-04-04,14:55:13,reprussfulcher,0,0,5,2019-04-04 14:55:13
"The Veterans History Project is a wonderful way for our veterans to share the stories of their service, while giving future generations the opportunity to learn from these stories and remember the sacrifices taken to protect our freedoms. More info here:  https://fulcher.house.gov/veterans-history-project … pic.twitter.com/KZro5p3pmX",1113531442691284992,2019-04-03,19:59:19,reprussfulcher,2,0,6,2019-04-03 19:59:19
Thank you to the @IdahoCattle Association for stopping by to discuss grazing and wildfire issues! pic.twitter.com/c3GfujofQ0,1113518812979191811,2019-04-03,19:09:07,reprussfulcher,2,3,24,2019-04-03 19:09:07
"Just walked off the House floor where I signed the discharge petition to ensure babies born alive are given proper medical care and protection. I was sent to Washington, D.C. to protect life, and as long as I’m in Congress, that is what I will do. #LetUsVote #EndInfanticide pic.twitter.com/2TTJdFpRAp",1113167512433254402,2019-04-02,19:53:11,reprussfulcher,18,14,92,2019-04-02 19:53:11
Thank you for stopping by and for all you do to #ENDALZ! #alzforum https://twitter.com/adreanc/status/1113137379232165888 …,1113145114724102150,2019-04-02,18:24:11,reprussfulcher,0,5,21,2019-04-02 18:24:11
Proud to be a part of this effort. Thank you @SteveScalise for your leadership to #EndInfanticide https://twitter.com/SteveScalise/status/1113129353456435200 …,1113135197602623493,2019-04-02,17:44:46,reprussfulcher,13,111,433,2019-04-02 17:44:46
